,fighter,height,reach,stance,dob,fighter_id
906,Joe Ellenberger,69.0,72.0,Orthodox,,8e8e4487c621aa1c
907,Tim Elliott,67.0,66.0,Southpaw,,c96d9178c9ed9e62
908,Eddy Ellis,69.0,,Orthodox,,e60d773a0a42048a
909,Lisa Ellis,64.0,,,,77350fd0e6d1dba8
910,Anna Elmose,63.0,,Orthodox,,1536a25e16fc299b
911,Cameron Else,69.0,71.0,Switch,,5f3da9a9610d8969
912,Aaron Ely,68.0,,,,1741343f0ca34dd5
913,Sovannahry Em,64.0,,,,45c8fed13a62fe92
914,Ramazan Emeev,70.0,76.0,Southpaw,1987-05-23,abd5fb12437eda21
915,Aleksander Emelianenko,78.0,,Orthodox,,f54200f1dfb9b5d4
916,Fedor Emelianenko,72.0,74.0,Orthodox,,b8da6f5c80ae2d15
917,Rob Emerson,69.0,70.0,Orthodox,,dc0f07928009a127
918,Jamall Emmers,70.0,74.0,Orthodox,,e00a3dee329a51f7
919,Josh Emmett,66.0,70.0,Orthodox,,fba03cd6cc28dc41
920,Marius Enache,71.0,,,,e3f443e4cbc3da8f
921,Kevin Engel,74.0,,,,d2f310b5b072e986
922,Kolton Englund,70.0,69.0,Orthodox,,4122da4f791b2f4f
923,Oliver Enkamp,72.0,77.0,Switch,,330bafba312face4
924,Alex Enlund,70.0,,Orthodox,1987-05-27,d238217e0f8ea8e1
925,Kenny Ento,74.0,,,,daf9be103c1edbbd
926,Ian Entwistle,65.0,,Orthodox,,d7adfcfdf7c6c1f8
927,Andy Enz,75.0,78.0,Orthodox,,993d385f5a475375
928,Won Jin Eoh,67.0,,Orthodox,,bc7cf284c1c2f16e
929,Josh Epps,,,,,984b0c4c6e773a1c
930,Tom Erikson,75.0,,Orthodox,,7b9a85e5ff31ef47
931,Konstantin Erokhin,71.0,,Orthodox,,22061ff217907c78
932,Julian Erosa,73.0,74.0,Southpaw,,902ec2cc48c8ae8a
933,Nick Ertl,69.0,,,,74061adb224be3cc
934,Chel Erwin-Davis,72.0,,,,c26ea30823f37316
935,Bobby Escalante,,,,,f7ede18b4ec4ec1f
936,Eric Esch,71.0,,Orthodox,,0e4daed84a8f39a6
937,Pro Escobedo,,,,,b36874652ed7715d
938,Cole Escovedo,67.0,72.0,Orthodox,,5df17b3620145578
939,Efrain Escudero,69.0,71.0,Orthodox,,83fd97284f4bb4a4
940,Evan Esguerra,,,,,ed220e87bef0cc64
941,Carla Esparza,61.0,63.0,Orthodox,,d910665038efc639
942,Juan Espino,75.0,80.0,,,ccf5dc41417e9daf
943,Jordan Espinosa,66.0,69.0,Orthodox,,215a70f073a7b726
944,Jodie Esquibel,61.0,64.0,Orthodox,1986-05-07,411539901068522f
945,Achilles Estremadura,70.0,68.0,Orthodox,,41f3cfdab0b22236
946,Terry Etim,73.0,73.0,Orthodox,,33011768c3c4dc9a
947,Fred Ettish,72.0,,Southpaw,,8d5daf67983b65ba
948,Scott Ettling,,,,,74b5736f1df40be3
949,Sijara Eubanks,64.0,67.0,Orthodox,,4234f0097c83fa62
950,Billy Evangelista,68.0,68.0,Orthodox,,9766ed20b68c7c33
951,Rashad Evans,72.0,75.0,Orthodox,,ee779c43a8926d52
952,Doug Evans,69.0,,Orthodox,,d3de4a24f7eefac8
953,Ashlee Evans-Smith,68.0,67.0,Orthodox,,fc6e681bf6658faf
954,Dan Evensen,75.0,,Orthodox,,dd8aec6de7035943
955,Tonya Evinger,67.0,70.0,Orthodox,,b12a1d19ee383b7c
956,Movsar Evloev,67.0,72.0,Orthodox,,76e2870ffafbe38f
957,Andre Ewell,68.0,75.0,Southpaw,,5f6f049d54728e88
958,Neal Ewing,,,,,0798f558681d0eb5
959,Jessica Eye,66.0,66.0,Orthodox,,f72465a784c1b084
960,Edward Faaloloto,,70.0,,,6224e8d0a34264eb
961,Urijah Faber,66.0,67.0,Orthodox,1979-05-14,78114b7199cef90c
962,Melinda Fabian,66.0,66.0,,,8c020156779f7888
963,Wagnney Fabiano,66.0,69.0,Southpaw,,40389d39a92f5bfa
964,Bartosz Fabinski,72.0,75.0,Orthodox,,e17ac6410c8377f4
965,Ron Faircloth,69.0,,Orthodox,,453ee00c3e1ae9dd
966,Jason Fairn,73.0,,,,adea9f0090aa8e14
967,Zarah Fairn,68.0,72.0,Orthodox,,862b0b3375aa4b6e
968,Rinat Fakhretdinov,72.0,,,,8f765fd5775a8873
969,Maiquel Falcao,71.0,,Orthodox,,d58478ded5534695
970,Pedro Falcao,66.0,66.0,Orthodox,,f7be1db194e03d7e
971,Brodie Farber,73.0,,Orthodox,,91d73ee59347ac16
972,Joao Paulo Faria,69.0,,,,04e9955f33e0c267
973,Kalindra Faria,67.0,,Switch,,27b164b0d1833df0
974,Chance Farrar,69.0,,Southpaw,,49c7236c737d7e59
975,Rico Farrington,76.0,79.0,Southpaw,,f89e6e66b9b112de
976,Kelly Faszholz,68.0,,Orthodox,,9c42a0de8e012870
977,Rodney Faverus,72.0,,Southpaw,,5af26b3201690d29
978,Paul Felder,71.0,70.0,Orthodox,,e5010b1b94ca5755
979,Carlos Felipe,72.0,75.0,Orthodox,,a2ea77e974c5889f
980,JP Felty,,,,,954e3f4e2b0e6510
981,Kevin Ferguson,74.0,77.0,Orthodox,,27541033b97c076d
982,Rhadi Ferguson,67.0,,,,15f4550e017f6c7d
983,Tony Ferguson,71.0,76.0,Orthodox,,22a92d7f62195791
984,Josh Ferguson,65.0,,Orthodox,1988-05-13,b0f316c60f8d3b47
985,CJ Fernandes,74.0,,,,979f7edbb6980b0d
986,Bibiano Fernandes,67.0,,Orthodox,,cbc071cb20ea59c7
987,Alexandre Ferreira,67.0,,Orthodox,,28ba5f27e473420c
988,Cezar Ferreira,73.0,78.0,Southpaw,,dbc17725b887860a
989,Diego Ferreira,69.0,74.0,Orthodox,,f53d4f21d1b5f2dc
990,Erisson Ferreira da Silva,66.0,70.0,Orthodox,1991-05-03,1c2a8915f8431507
991,Scott Ferrozzo,71.0,,Orthodox,,977081bc01197656
992,Timo Feucht,75.0,79.0,Orthodox,,8c21eb9fd7c4c203
993,Andre Fialho,72.0,74.0,Orthodox,,33efaf2d0941cfcf
994,Drew Fickett,70.0,70.0,Orthodox,,d814f5192e58fb2f
995,Scott Fiedler,76.0,,Orthodox,,0ec821423baa26bd
996,Ron Fields,74.0,,Orthodox,,6e380a4d73ab4f0e
997,Deiveson Figueiredo,65.0,68.0,Orthodox,,aa72b0f831d0bfe5
998,Francisco Figueiredo,66.0,68.0,Southpaw,,cdadae5363b66eef
999,Anthony Figueroa,64.0,,Orthodox,,daff32bc96d1eabf
1000,Edwin Figueroa,67.0,69.0,Orthodox,,bbfca6d5c27d9cd8
1001,Paulo Filho,68.0,,Southpaw,1978-05-24,2abdead94ce73552
1002,Andre Fili,71.0,74.0,Orthodox,,8fd808923cffff82
1003,Mirko Filipovic,74.0,73.0,Southpaw,,c32fb8c0f6471a4d
1004,Brady Fink,72.0,,Orthodox,,997b4f52f76a0b53
1005,Jesse Finney,72.0,,,,0496cdac0bc9edd8
1006,Jan Finney,68.0,,Orthodox,,3317823959d32a05
1007,Luigi Fioravanti,68.0,70.0,Orthodox,,9583662df31d943f
1008,Manon Fiorot,67.0,65.0,Orthodox,,34ff304266360297
1009,Luiz Firmino,66.0,,Orthodox,,16d09e800ad7ec79
1010,Spencer Fisher,67.0,68.0,Southpaw,1976-05-09,f34312c2ccfa0e00
1011,Chris Fishgold,68.0,68.0,Orthodox,,bebb4ae55ac2bf6f
1012,Bryanna Fissori,64.0,,,,5517bd590dbbe1f8
1013,Jon Fitch,72.0,74.0,Orthodox,,6f018c039b4d5d80
1014,Isi Fitikefu,70.0,,,,b8dc5fbf8338adc5
1015,Rafael Fiziev,68.0,71.0,Switch,,c814b4c899793af6
1016,Colin Fletcher,74.0,,Orthodox,,7d09200f6a77b20e
1017,AJ Fletcher,70.0,67.0,Switch,,725b1abc9a39d873
1018,Jimmy Flick,67.0,68.0,Orthodox,,09e62c450e754913
1019,Luke Flores,72.0,73.0,Southpaw,,b5f44dcb863f595b
1020,Ty Flores,75.0,73.0,Switch,,4bb0f74d5e26f89a
1021,Alejandro Flores,70.0,73.0,Orthodox,,d23d5960ac5e117c
1022,Kenny Florian,70.0,74.0,Southpaw,1976-05-26,cb139171ed1b69fe
1023,Cody Floyd,,,,,8164250600b7c91b
1024,Bobby Flynn,,,,,c97fc5fbf7d32b8a
1025,Caros Fodor,69.0,74.0,Orthodox,,01d2ed8c502e3828
1026,Mal Foki,67.0,,Orthodox,,fa534853eb195270
1027,Matt Foki,67.0,,Orthodox,,5de61b03868035ff
1028,AJ Fonseca,64.0,,,,0adf1aacda5e26ac
1029,Rob Font,68.0,71.0,Orthodox,,05339613bf8e9808
1030,Claudionor Fontinelle,65.0,,Orthodox,,7a82635ffa9b59fe
1031,Jesse Forbes,74.0,75.0,Southpaw,,947eccadb72f4f6f
1032,Sterling Ford,70.0,,,,a71ce6ff0b4a9dbb
1033,Codale Ford,69.0,,,1979-05-13,5340123d826ceadb
1034,Jussier Formiga,65.0,67.0,Orthodox,,b102c26727306ab6
1035,Renee Forte,67.0,71.0,Orthodox,,44bc27bfa76dcd9e
1036,Marcel Fortuna,73.0,74.0,Orthodox,,d761b3766e38c5db
1037,Brian Foster,69.0,71.0,Orthodox,,3dc3022232b79c7a
1038,Xavier Foupa-Pokam,73.0,,Open Stance,,ec33146e43e58933
1039,Mason Fowler,71.0,,,,d745d4146be48679
1040,Brandon Foxworth,71.0,,Orthodox,,f65a0eb902f9476b
1041,Hermes Franca,66.0,71.0,Orthodox,,e0ec3c3b6b611f7e
1042,Glaico Franca Moreira,72.0,77.0,Orthodox,,00a3ff40c4b2cf21
1043,Francisco France,72.0,,,,ecfdbf38681a59ba
1044,John Franchi,66.0,67.0,Orthodox,,b9532d815060de7f
1045,Rich Franklin,73.0,76.0,Southpaw,,d897897060f10a3a
1046,Zoila Frausto,64.0,,Orthodox,,040d3b4c735541aa
1047,Stephanie Frausto,62.0,61.0,Orthodox,,fee02819a271c050
1048,Zane Frazier,77.0,,Orthodox,,d3711d3784b76255
1049,Gary Frazier,72.0,,Orthodox,,3beeeafcbc8b4cbc
1050,Justin Frazier,72.0,75.0,Southpaw,,78863e4a28204a6b
1051,Ian Freeman,71.0,,Orthodox,,b4bc2e3353a770b5
1052,Jason Freeman,74.0,,,,5870bd1eadf4f322
1053,Willamy Freire,68.0,,,,f1f37d667bcd0d27
1054,Patricio Freire,65.0,65.0,,,98a58c26c5b1ed17
1055,Patricky Freire,67.0,71.0,,,90e6dde9113830bd
1056,JeremyFreitag,73.0,,,,a47e9ec288c91067
1057,Rafael Freitas,,,Orthodox,,14b9e0f2679a2205
1058,Donavon Frelow,67.0,,Orthodox,,9aa56f004b2bca07
1059,Clay French,67.0,,Southpaw,,73321668ff977f1b
1060,Mike French,70.0,,,1975-05-29,756f45905fb20cb5
1061,Matt Frevola,69.0,71.0,Orthodox,,dccb63727f2f5f74
1062,Jinh Yu Frey,63.0,65.0,Southpaw,1985-05-20,d05cb1e8d1b885d8
1063,Artem Frolov,70.0,,,,ee704df0afd74558
1064,Sarah Frota,66.0,69.0,Southpaw,,1641ef250e9de19b
1065,Don Frye,73.0,,Orthodox,,271fe91f4ba9d2c5
1066,Tony Fryklund,72.0,,Orthodox,,253de74457bd6374
1067,Jesse Fujarczyk,76.0,,Southpaw,,c3c38c86f5ab9b5c
1068,Katsuhisa Fujii,72.0,,Orthodox,,d71d968dc6ecfdaf
1069,Megumi Fujii,63.0,,,,fb6c531726447ff3
1070,Kazuyuki Fujita,72.0,,Orthodox,,b1605ea39fba6af6
1071,Keisuke Fujiwara,66.0,,Switch,,ccd58ff71e260ed5
1072,Riki Fukuda,72.0,73.0,Southpaw,,7c35f869033901ae
1073,Masio Fullen,70.0,70.0,Orthodox,,4638cc6479cc0afe
1074,Travis Fulton,72.0,,Orthodox,1977-05-29,911fb265462f0d94
1075,Sam Fulton,,,,,1f5f75658551f2d3
1076,Masakatsu Funaki,72.0,,Southpaw,,aa3153a9941b4d44
1077,Ricardo Funch,70.0,74.0,Southpaw,,e9e1acc96536bb4f
1078,Katsuaki Furuki,72.0,,,,c3e2eca94b2320bc
1079,James Gabert,,,,,fcd8b623892b9a10
1080,Gustavo Gabriel,66.0,,Orthodox,,fe98f86284a6eeb3
1081,Claudia Gadelha,64.0,63.0,Orthodox,,ec34349e7dffcde7
1082,Alavutdin Gadjiev,74.0,,Orthodox,,a7a79b8efbceaaac
1083,Justin Gaethje,71.0,70.0,Orthodox,,9e8f6c728eb01124
1084,Sheila Gaff,65.0,,Orthodox,,837d30395faca41e
1085,Muin Gafurov,67.0,68.0,Southpaw,1996-05-17,a54660deb6a8489c
1086,Mitch Gagnon,65.0,65.0,Southpaw,,b8592b4a383696cd
1087,Brandon Gaines,75.0,,,,8e6cfbd455f0f9c2
1088,Travis Galbraith,72.0,,Orthodox,1981-05-18,06dc1a58663579d2
1089,Dave Galera,71.0,,Orthodox,,0876d21328cf4a45
1090,Zelg Galesic,74.0,,Orthodox,,8a1b4330c7957961
1091,Mickey Gall,74.0,74.0,Switch,,9e50097a89442158
1092,Daniel Gallemore,77.0,,,,96706c75a2b14164
1093,Tom Gallicchio,70.0,,Southpaw,,cc81c92fe2254935
1094,Turrell Galloway,63.0,,,,7e654edcddd71550
1095,Eric Galvan,,,,,ad3fdba28a7540cf
1096,Andre Galvao,67.0,,Orthodox,,45fe6765c56d8018
1097,Marcos Galvao,67.0,,Orthodox,,e15d0a2519d6a0b5
1098,Lucas Gamaza,,,,,289a3b69b85da7cd
1099,Joey Gambino,67.0,,Orthodox,,10559c53de0b950e
1100,Manvel Gamburyan,65.0,67.0,Orthodox,1981-05-08,cc6f9d1e89f3449a
1101,Mateusz Gamrot,70.0,70.0,Southpaw,,72db2a14ffa73ece
1102,Shamil Gamzatov,74.0,76.0,Orthodox,,0d980975001ae3d8
1103,Ariel Gandulla,71.0,,Orthodox,1968-05-07,41904fc4d3f5bffc
1104,Ciryl Gane,76.0,81.0,Orthodox,,787bb1f087ccff8a
1105,Sean Gannon,75.0,,Southpaw,,6d7886b094b471ac
1106,Eduardo Garagorri,69.0,70.0,Orthodox,1989-05-28,7bde387d50829adf
1107,Cody Garbrandt,68.0,65.0,Orthodox,,d8c7c61b176e3994
1108,Leonard Garcia,70.0,68.0,Orthodox,,917e53fa0adea0d3
1109,Edgar Garcia,70.0,71.0,Orthodox,,8d49545dadf9b919
1110,Alejandro Garcia,67.0,,,,e5dc36e0aba7e9da
1111,Alex Garcia,69.0,72.0,Orthodox,,a2b12c3f3d60ff69
1112,Nick Garcia,64.0,,,,8a04d94dfcfab159
1113,Steve Garcia,72.0,75.0,Southpaw,1992-05-22,97cf1a2c7c5e7889
1114,Elias Garcia,65.0,67.0,Southpaw,,ac5a7400da3a9a41
1115,Rafa Garcia,67.0,70.0,Orthodox,,e132d47bd9efbbe0
1116,Fernie Garcia,67.0,67.0,Orthodox,,9e92e1ca498d7244
1117,Rulon Gardner,75.0,,Orthodox,,4f7e290e71d60f87
1118,David Gardner,71.0,,Orthodox,1977-05-17,70167689d6a01793
1119,Ian Garry,75.0,74.0,Orthodox,,442c9011034ae1fd
1120,Pablo Garza,73.0,73.0,Orthodox,,8e5bfd4e82352340
1121,Azamat Gashimov,66.0,,Orthodox,,a1b0715c4fd2dbd3
1122,Brian Gassaway,73.0,,Orthodox,,e4770d5ed44a3970
1123,Kelvin Gastelum,69.0,71.0,Southpaw,,8c0580d4fff106c1
1124,Willie Gates,68.0,72.0,Orthodox,,6ded9184b2284645
1125,Melissa Gatto,65.0,69.0,Orthodox,,a4a80dd7336ffd59
1126,Louis Gaudinot,63.0,63.0,Orthodox,,b72a60a0cadff408
1127,Manuel Gaxhja,68.0,,Switch,,618643d0d5c0631d
1128,Charlene Gellner,62.0,,,,effd0b70e6749ab2
1129,Chad George,66.0,68.0,Southpaw,,14e797332ea32cdb
1130,Paul Georgieff,74.0,,Orthodox,,2f1700b3a4a09bc7
1131,Brian Geraghty,67.0,,Orthodox,,15edcf67ccf5be84
1132,Derek Getzel,72.0,,,,42883268854b78be
1133,Karine Gevorgyan,64.0,63.0,,,2db0c114414d4f06
1134,Darrel Gholar,68.0,,Orthodox,,a24e080000fa7a35
1135,Tiki Ghosn,70.0,,Orthodox,,cb6783c39c01d896
1136,Christos Giagos,70.0,71.0,Orthodox,,de45aaae23dfa392
1137,Joe Giannetti,72.0,74.0,Southpaw,,946db8a378903cc3
1138,Nick Gibbons,70.0,,,,96a221341035b701
1139,James Giboo,71.0,,Orthodox,,f74e037b97917027
1140,Lance Gibson,69.0,,Orthodox,,63eedfcc73071d41
1141,Lee Gibson,67.0,,,,69db199087a1a792
1142,Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
1143,Chase Gibson,70.0,72.0,Orthodox,,09439946214993bc
1144,Kenny Giddens,71.0,,,,db8b800176d26f6e
1145,Thomas Gifford,73.0,75.0,Orthodox,,e7f51d9f9e9259e7
1146,Joseph Gigliotti,71.0,,Orthodox,,83825fad27ab3581
1147,Joey Gilbert,71.0,,Orthodox,,6bb1d2b714d4b3bc
1148,Trevin Giles,72.0,74.0,Orthodox,,b27a1fcb56a3035a
1149,Kultar Gill,72.0,,Orthodox,,42c96a9c4802e2e1
1150,Jesse Gillespie,,,,,160b931119c1bf91
1151,Gregor Gillespie,67.0,71.0,Orthodox,,84ff027394f7e470
1152,Jason Gilliam,72.0,,Orthodox,,91720876db0ee468
1153,Micheal Gillmore,71.0,72.0,Orthodox,,ce175eaafe867d1f
1154,Krishaun Gilmore,,,,,10ccdcd14c3dfcf1
1155,Alex Gilpin,67.0,,Orthodox,,762c69860eef65d8
1156,Bob Gilstrap,75.0,,Orthodox,,c96518b7f6881004
1157,Demetrius Gioulacos,71.0,,,,a58114c6dd0add64
1158,Billy Giovanella,68.0,,,,c1ea31a904fe08a9
1159,He-Man Gipson,,,,,3e03cec9767d37e6
1160,Israel Giron,68.0,,,,4b4f6abdce986be6
1161,Brandon Girtz,67.0,,,,81f1810f72df8f25
1162,Jason Glaza,72.0,,,,fda067e842b07466
1163,Mike Glenn,,,,,ed133185689088b3
1164,Ricky Glenn,72.0,70.0,Southpaw,,814ff3018127e8fc
1165,Mark Godbeer,76.0,77.0,Orthodox,,ad56b3f00ca38dfd
1166,Clint Godfrey,66.0,,Southpaw,,bd85ca0bb4f26cfc
1167,Loopy Godinez,62.0,61.0,Orthodox,,8e5d953bdb9ae5e7
1168,Jason Godsey,74.0,,Orthodox,,5ca158b1cc9cb242
1169,Allan Goes,72.0,,Orthodox,,e62b36885ecdac27
1170,Jonny Goh,71.0,,,,e86af30738a5452a
1171,Hannah Goldy,64.0,61.0,Orthodox,1992-05-18,26e3f3928b1891d9
1172,Marcelo Golm,75.0,75.0,Orthodox,,ac29d508d78384c9
1173,Sergio Gomez,66.0,,Orthodox,,af1e5c64b8663aa0
1174,Frank Gomez,70.0,67.0,Orthodox,,a0a680fe2f6cc8e6
1175,Alan Gomez,,,,,0a66de3a797cf73a
1176,David Gomez,,,,,489413d3be819647
1177,Ulysses Gomez,66.0,,Orthodox,1983-05-25,1e35aa8955794580
1178,Joey Gomez,70.0,73.0,Orthodox,,0778f94eb5d588a5
1179,Luis Gomez,67.0,68.0,Orthodox,,513e84bfe65ff509
1180,Joey Gomez,70.0,71.0,Orthodox,,3a28e1e641366308
1181,Edson Gomez,68.0,69.0,Switch,,e90f4291f93708e6
1182,Silvana Gomez Juarez,63.0,65.0,Orthodox,,b4880ef2f838d4e1
1183,Takanori Gomi,67.0,70.0,Southpaw,,3be081c29bf734d9
1184,Akihiro Gono,67.0,68.0,Switch,,b2acebbef8da14ea
1185,Gabriel Gonzaga,74.0,76.0,Orthodox,1979-05-18,270b89c00ef0c55c
1186,Justin Gonzales,69.0,72.0,Orthodox,,94535f76f43b466a
1187,Fernando Gonzalez,69.0,68.0,Southpaw,,be5aab761c40ef35
1188,Nick Gonzalez,66.0,,Orthodox,,28d8638ea0a71908
1189,Fabian Gonzalez,70.0,,,,69c071bc2621e8b0
1190,Lewis Gonzalez,70.0,,Orthodox,,2ff2e6e5abea3e53
1191,Jason Gonzalez,74.0,74.0,Southpaw,,e45cfa47f504033a
1192,Pearl Gonzalez,64.0,,Orthodox,,1ebdcb7488d0ebee
1193,Jorge Gonzalez,74.0,76.0,Orthodox,,ff175a137b395e2b
1194,Mikey Gonzalez,71.0,74.0,Orthodox,,de47c33e48b0ce38
1195,Erick Gonzalez,71.0,75.0,Orthodox,,a2ccf35a88346a91
1196,Jennifer Gonzalez,62.0,,,,4f1a48f4e6ffb007
1197,Kier Gooch,,,,,1bda4867f1baceac
1198,Lyman Good,72.0,74.0,Orthodox,1985-05-26,4e0692ad070976e4
1199,Jared Gooden,72.0,77.0,Orthodox,,c730a0be691dc081
1200,Gary Goodridge,75.0,,Orthodox,,fbbde91f7bc2d3c5
1201,Jordan Goodwin,,,,,7f98d9d5a10fa25c
1202,Gerard Gordeau,77.0,,Orthodox,,279093302a6f44b3
1203,Eddie Gordon,72.0,76.0,Orthodox,,8cad40a75e5c97f5
1204,Jared Gordon,69.0,68.0,Orthodox,,7026eca45f65377b
1205,Tebaris Gordon,73.0,,Orthodox,,68c4ca70067bf282
1206,Malcolm Gordon,67.0,71.0,Switch,1990-05-19,dee294e9717012c2
1207,Tresean Gore,72.0,75.0,Switch,,147e70aa6cc48cfc
1208,Alex Gorgees,74.0,74.0,Switch,,803bebcfb6d6f506
1209,Tim Gorman,65.0,,Southpaw,,c10eb2f12c489f6d
1210,Chase Gormley,75.0,,Orthodox,,052ceb8976695342
1211,Jonathan Goulet,72.0,73.0,Orthodox,,fb1538b46877a695
1212,Thibault Gouti,70.0,72.0,Orthodox,,51e86de150ee8be6
1213,Wilson Gouveia,73.0,76.0,Orthodox,,af5b208e97f5d382
1214,Todd Gouwenberg,73.0,,Orthodox,,c44acf87e376c62b
1215,Hugo Govea,,,,,2391a73686200c5d
1216,Justin Governale,,,,,ae954fd497025462
1217,Damian Grabowski,73.0,75.0,Orthodox,1980-05-12,3f11b5d4bd76a6d9
1218,Royce Gracie,73.0,,Southpaw,,429e7d3725852ce9
1219,Crosley Gracie,69.0,,Orthodox,,52d92050a046bc17
1220,Daniel Gracie,74.0,,Orthodox,,82d6a9ae41aac3f7
1221,Ralph Gracie,69.0,,Orthodox,,a9c45a8b21eabadc
1222,Renzo Gracie,70.0,,Orthodox,,aae0897825336b1a
1223,Rickson Gracie,70.0,,Switch,,194fc025f9355db6
1224,Rodrigo Gracie,72.0,,Orthodox,,36877f0e62b25b96
1225,Royler Gracie,68.0,,Southpaw,,b807814d977682eb
1226,Ryan Gracie,69.0,,Orthodox,,0c3838c8f7c620c2
1227,Ralek Gracie,74.0,,Orthodox,,84283233ec42be5f
1228,Rolles Gracie,76.0,,Orthodox,,e4a9dbade7c7e1a7
1229,Cesar Gracie,70.0,,Orthodox,,079488710f012779
1230,Roger Gracie,76.0,79.0,Orthodox,,a6bbd3df469c6bea
1231,Igor Gracie,71.0,,,,722b870449243083
1232,Neiman Gracie,72.0,,,,12d855d12a624da2
1233,Kron Gracie,69.0,70.0,Southpaw,,242d36d241b43c12
1234,Steven Graham,73.0,,Orthodox,,3e514f437c51ce0a
1235,Scott Graham,76.0,,Orthodox,,6e4acc2c115215b5
1236,Miranda Granger,67.0,68.0,Orthodox,,7559395ad833c074
1237,TJ Grant,70.0,72.0,Orthodox,,a26198ba5093147e
1238,Davey Grant,68.0,69.0,Orthodox,,113df4fde64735c6
1239,Dwight Grant,73.0,76.0,Switch,,8be158ca1e5ea6a0
1240,Alexa Grasso,65.0,66.0,Orthodox,,e8b731feff72294b
1241,Tony Gravely,65.0,69.0,Orthodox,,601964f9654f911a
1242,Michael Graves,70.0,71.0,Orthodox,,3f1d23b01c552a13
1243,Shelton Graves,74.0,76.0,Southpaw,,642862d6d63605cd
1244,James Gray,69.0,,Orthodox,,2db65fc038c0018e
1245,Kevin Gray,64.0,67.0,Orthodox,1985-05-03,bb0d290026d7681d
1246,Sam Greco,74.0,,Orthodox,1967-05-03,6d12031661db8ac8
1247,Bobby Green,70.0,71.0,Orthodox,,887961364be5ceb3
1248,Desmond Green,70.0,73.0,Southpaw,,f046d724d2a84ac5
1249,Gabe Green,70.0,73.0,Switch,1993-05-02,5eb50529a8418b77
1250,Maurice Greene,79.0,80.0,Orthodox,,068f8a189a47fea6
1251,Matt Grice,68.0,70.0,Orthodox,,bfc2fc38a0e20211
1252,Forrest Griffin,75.0,77.0,Orthodox,,fcffee71cff5530e
1253,Tyson Griffin,66.0,68.0,Orthodox,,20205040232ed0f3
1254,Max Griffin,71.0,76.0,Orthodox,,b0d6a1d8ac3d563d
1255,Jordan Griffin,70.0,73.0,Southpaw,,ebef46976554f975
1256,Chad Griggs,73.0,73.0,Orthodox,1978-05-15,fdf18227faa596dd
1257,Chuck Grigsby,78.0,,Orthodox,,7fb4234670271505
1258,Rodrigo Gripp de Sousa,71.0,,Orthodox,,dde70a112e053a6c
1259,Maxim Grishin,75.0,78.0,Orthodox,1984-05-02,950d0ef5c17157c5
1260,Josh Grispi,71.0,74.0,Orthodox,,60ba33c3f555a7a3
1261,Garrett Gross,69.0,,Orthodox,,6741218640534d8b
1262,Kendall Grove,78.0,79.0,Orthodox,,234f3767ff0e5701
1263,Neil Grove,78.0,,Orthodox,,36a432f22144843e
1264,Chris Gruetzemacher,68.0,68.0,Orthodox,,feaf00f3373435d6
1265,Vik Grujic,71.0,73.0,Orthodox,,1e7483dbff40b84b
1266,Mike Grundy,67.0,72.0,Orthodox,,56fcb2c4d99f9d1b
1267,Wang Guan,69.0,71.0,Orthodox,,dd12382f28296f7b
1268,Nandor Guelmino,75.0,,,,1abfb658cd4f8533
1269,Fabricio Guerreiro,70.0,,,,2963369e327e1979
1270,Shannon Gugerty,70.0,71.0,Orthodox,,9f1641c08cf8fbe2
1271,Clay Guida,67.0,70.0,Orthodox,,c47df9303d318c67
1272,Jason Guida,70.0,,,,ce25b4ed82b1811b
1273,Melvin Guillard,69.0,71.0,Orthodox,,ccd1299e0345e0ce
1274,Chris Guillen,72.0,,Orthodox,,da0f33e4255f99eb
1275,Marcelo Guimaraes,72.0,73.0,Orthodox,,0c9c0a43d3f3f49d
1276,Leonardo Guimaraes,72.0,,Orthodox,,cc98d857b148e33a
1277,Brad Gumm,71.0,,Orthodox,,4d74641fac830182
1278,John Gunderson,69.0,69.0,Orthodox,,a0c139b34f11421a
1279,John Gunther,69.0,72.0,Orthodox,,3956bdc8ab2e54b3
1280,Jorge Gurgel,67.0,69.0,Orthodox,,04d5718ed2661e8c
1281,Fabio Gurgel,72.0,,Orthodox,,8377c5572cb356f3
1282,Andre Gusmao,72.0,,Orthodox,1977-05-19,cc300e9aa3063431
1283,Alexander Gustafsson,77.0,79.0,Orthodox,,3c6976f8182d9527
1284,Justin Guthrie,73.0,,,,a789defa9086da46
1285,Horacio Gutierrez,70.0,,,,cd85b48dc880fabd
1286,Chris Gutierrez,69.0,67.0,Orthodox,,45f0cc9d18f35137
1287,Mike Guymon,72.0,74.0,Orthodox,,eaea0fc7b76525a8
1288,Chelsea Hackett,64.0,66.0,Switch,,184b7a36d50dcc5e
1289,Keith Hackney,71.0,,Sideways,,bf12aca029bfcc47
1290,Jake Hadley,67.0,70.0,Southpaw,,60a42bf82447c919
1291,Steve Hadsel,68.0,,,,99793cf88c5adeee
1292,Damir Hadzovic,69.0,70.0,Orthodox,,38c626ca912c7bac
1293,Tim Hague,76.0,76.0,Orthodox,1983-05-09,219a254e15d60135
1294,Yazan Hajeh,69.0,,Orthodox,,4955c524c2a71469
1295,Stoney Hale,72.0,,,,206a7d47eb62170e
