fighter,height,reach,stance,dob,fighter_id
Kalindra Faria,67.0,,Switch,,27b164b0d1833df0
Chance Farrar,69.0,,Southpaw,,49c7236c737d7e59
Rico Farrington,76.0,79.0,Southpaw,,f89e6e66b9b112de
Kelly Faszholz,68.0,,Orthodox,,9c42a0de8e012870
Rodney Faverus,72.0,,Southpaw,,5af26b3201690d29
Paul Felder,71.0,70.0,Orthodox,,e5010b1b94ca5755
Carlos Felipe,72.0,75.0,Orthodox,,a2ea77e974c5889f
JP Felty,,,,,954e3f4e2b0e6510
Kevin Ferguson,74.0,77.0,Orthodox,,27541033b97c076d
Rhadi Ferguson,67.0,,,,15f4550e017f6c7d
Tony Ferguson,71.0,76.0,Orthodox,,22a92d7f62195791
Josh Ferguson,65.0,,Orthodox,1988-05-13,b0f316c60f8d3b47
CJ Fernandes,74.0,,,,979f7edbb6980b0d
Bibiano Fernandes,67.0,,Orthodox,,cbc071cb20ea59c7
Alexandre Ferreira,67.0,,Orthodox,,28ba5f27e473420c
Cezar Ferreira,73.0,78.0,Southpaw,,dbc17725b887860a
Diego Ferreira,69.0,74.0,Orthodox,,f53d4f21d1b5f2dc
Erisson Ferreira da Silva,66.0,70.0,Orthodox,1991-05-03,1c2a8915f8431507
Scott Ferrozzo,71.0,,Orthodox,,977081bc01197656
Timo Feucht,75.0,79.0,Orthodox,,8c21eb9fd7c4c203
Andre Fialho,72.0,74.0,Orthodox,,33efaf2d0941cfcf
Drew Fickett,70.0,70.0,Orthodox,,d814f5192e58fb2f
Scott Fiedler,76.0,,Orthodox,,0ec821423baa26bd
Ron Fields,74.0,,Orthodox,,6e380a4d73ab4f0e
Deiveson Figueiredo,65.0,68.0,Orthodox,,aa72b0f831d0bfe5
Francisco Figueiredo,66.0,68.0,Southpaw,,cdadae5363b66eef
Anthony Figueroa,64.0,,Orthodox,,daff32bc96d1eabf
Edwin Figueroa,67.0,69.0,Orthodox,,bbfca6d5c27d9cd8
Paulo Filho,68.0,,Southpaw,1978-05-24,2abdead94ce73552
Andre Fili,71.0,74.0,Orthodox,,8fd808923cffff82
Mirko Filipovic,74.0,73.0,Southpaw,,c32fb8c0f6471a4d
Brady Fink,72.0,,Orthodox,,997b4f52f76a0b53
Jesse Finney,72.0,,,,0496cdac0bc9edd8
Jan Finney,68.0,,Orthodox,,3317823959d32a05
Luigi Fioravanti,68.0,70.0,Orthodox,,9583662df31d943f
Manon Fiorot,67.0,65.0,Orthodox,,34ff304266360297
Luiz Firmino,66.0,,Orthodox,,16d09e800ad7ec79
Spencer Fisher,67.0,68.0,Southpaw,1976-05-09,f34312c2ccfa0e00
Chris Fishgold,68.0,68.0,Orthodox,,bebb4ae55ac2bf6f
Bryanna Fissori,64.0,,,,5517bd590dbbe1f8
Jon Fitch,72.0,74.0,Orthodox,,6f018c039b4d5d80
Isi Fitikefu,70.0,,,,b8dc5fbf8338adc5
Rafael Fiziev,68.0,71.0,Switch,,c814b4c899793af6
Colin Fletcher,74.0,,Orthodox,,7d09200f6a77b20e
AJ Fletcher,70.0,67.0,Switch,,725b1abc9a39d873
Jimmy Flick,67.0,68.0,Orthodox,,09e62c450e754913
Luke Flores,72.0,73.0,Southpaw,,b5f44dcb863f595b
Ty Flores,75.0,73.0,Switch,,4bb0f74d5e26f89a
Alejandro Flores,70.0,73.0,Orthodox,,d23d5960ac5e117c
Kenny Florian,70.0,74.0,Southpaw,1976-05-26,cb139171ed1b69fe
Cody Floyd,,,,,8164250600b7c91b
Bobby Flynn,,,,,c97fc5fbf7d32b8a
Caros Fodor,69.0,74.0,Orthodox,,01d2ed8c502e3828
Mal Foki,67.0,,Orthodox,,fa534853eb195270
Matt Foki,67.0,,Orthodox,,5de61b03868035ff
AJ Fonseca,64.0,,,,0adf1aacda5e26ac
Rob Font,68.0,71.0,Orthodox,,05339613bf8e9808
Claudionor Fontinelle,65.0,,Orthodox,,7a82635ffa9b59fe
Jesse Forbes,74.0,75.0,Southpaw,,947eccadb72f4f6f
Sterling Ford,70.0,,,,a71ce6ff0b4a9dbb
Codale Ford,69.0,,,1979-05-13,5340123d826ceadb
Jussier Formiga,65.0,67.0,Orthodox,,b102c26727306ab6
Renee Forte,67.0,71.0,Orthodox,,44bc27bfa76dcd9e
Marcel Fortuna,73.0,74.0,Orthodox,,d761b3766e38c5db
Brian Foster,69.0,71.0,Orthodox,,3dc3022232b79c7a
Xavier Foupa-Pokam,73.0,,Open Stance,,ec33146e43e58933
Mason Fowler,71.0,,,,d745d4146be48679
Brandon Foxworth,71.0,,Orthodox,,f65a0eb902f9476b
Hermes Franca,66.0,71.0,Orthodox,,e0ec3c3b6b611f7e
Glaico Franca Moreira,72.0,77.0,Orthodox,,00a3ff40c4b2cf21
Francisco France,72.0,,,,ecfdbf38681a59ba
John Franchi,66.0,67.0,Orthodox,,b9532d815060de7f
Rich Franklin,73.0,76.0,Southpaw,,d897897060f10a3a
Zoila Frausto,64.0,,Orthodox,,040d3b4c735541aa
Stephanie Frausto,62.0,61.0,Orthodox,,fee02819a271c050
Zane Frazier,77.0,,Orthodox,,d3711d3784b76255
Gary Frazier,72.0,,Orthodox,,3beeeafcbc8b4cbc
Justin Frazier,72.0,75.0,Southpaw,,78863e4a28204a6b
Ian Freeman,71.0,,Orthodox,,b4bc2e3353a770b5
Jason Freeman,74.0,,,,5870bd1eadf4f322
Willamy Freire,68.0,,,,f1f37d667bcd0d27
Patricio Freire,65.0,65.0,,,98a58c26c5b1ed17
Patricky Freire,67.0,71.0,,,90e6dde9113830bd
JeremyFreitag,73.0,,,,a47e9ec288c91067
Rafael Freitas,,,Orthodox,,14b9e0f2679a2205
Donavon Frelow,67.0,,Orthodox,,9aa56f004b2bca07
Clay French,67.0,,Southpaw,,73321668ff977f1b
Mike French,70.0,,,1975-05-29,756f45905fb20cb5
Matt Frevola,69.0,71.0,Orthodox,,dccb63727f2f5f74
Jinh Yu Frey,63.0,65.0,Southpaw,1985-05-20,d05cb1e8d1b885d8
Artem Frolov,70.0,,,,ee704df0afd74558
Sarah Frota,66.0,69.0,Southpaw,,1641ef250e9de19b
Don Frye,73.0,,Orthodox,,271fe91f4ba9d2c5
Tony Fryklund,72.0,,Orthodox,,253de74457bd6374
Jesse Fujarczyk,76.0,,Southpaw,,c3c38c86f5ab9b5c
Katsuhisa Fujii,72.0,,Orthodox,,d71d968dc6ecfdaf
Megumi Fujii,63.0,,,,fb6c531726447ff3
Kazuyuki Fujita,72.0,,Orthodox,,b1605ea39fba6af6
Keisuke Fujiwara,66.0,,Switch,,ccd58ff71e260ed5
Riki Fukuda,72.0,73.0,Southpaw,,7c35f869033901ae
Masio Fullen,70.0,70.0,Orthodox,,4638cc6479cc0afe
Travis Fulton,72.0,,Orthodox,1977-05-29,911fb265462f0d94
Sam Fulton,,,,,1f5f75658551f2d3
Masakatsu Funaki,72.0,,Southpaw,,aa3153a9941b4d44
Ricardo Funch,70.0,74.0,Southpaw,,e9e1acc96536bb4f
Katsuaki Furuki,72.0,,,,c3e2eca94b2320bc
James Gabert,,,,,fcd8b623892b9a10
Gustavo Gabriel,66.0,,Orthodox,,fe98f86284a6eeb3
Claudia Gadelha,64.0,63.0,Orthodox,,ec34349e7dffcde7
Alavutdin Gadjiev,74.0,,Orthodox,,a7a79b8efbceaaac
Justin Gaethje,71.0,70.0,Orthodox,,9e8f6c728eb01124
Sheila Gaff,65.0,,Orthodox,,837d30395faca41e
Muin Gafurov,67.0,68.0,Southpaw,1996-05-17,a54660deb6a8489c
Mitch Gagnon,65.0,65.0,Southpaw,,b8592b4a383696cd
Brandon Gaines,75.0,,,,8e6cfbd455f0f9c2
Travis Galbraith,72.0,,Orthodox,1981-05-18,06dc1a58663579d2
Dave Galera,71.0,,Orthodox,,0876d21328cf4a45
Zelg Galesic,74.0,,Orthodox,,8a1b4330c7957961
Mickey Gall,74.0,74.0,Switch,,9e50097a89442158
Daniel Gallemore,77.0,,,,96706c75a2b14164
Tom Gallicchio,70.0,,Southpaw,,cc81c92fe2254935
Turrell Galloway,63.0,,,,7e654edcddd71550
Eric Galvan,,,,,ad3fdba28a7540cf
Andre Galvao,67.0,,Orthodox,,45fe6765c56d8018
Marcos Galvao,67.0,,Orthodox,,e15d0a2519d6a0b5
Lucas Gamaza,,,,,289a3b69b85da7cd
Joey Gambino,67.0,,Orthodox,,10559c53de0b950e
Manvel Gamburyan,65.0,67.0,Orthodox,1981-05-08,cc6f9d1e89f3449a
Mateusz Gamrot,70.0,70.0,Southpaw,,72db2a14ffa73ece
Shamil Gamzatov,74.0,76.0,Orthodox,,0d980975001ae3d8
Ariel Gandulla,71.0,,Orthodox,1968-05-07,41904fc4d3f5bffc
Ciryl Gane,76.0,81.0,Orthodox,,787bb1f087ccff8a
Sean Gannon,75.0,,Southpaw,,6d7886b094b471ac
Eduardo Garagorri,69.0,70.0,Orthodox,1989-05-28,7bde387d50829adf
Cody Garbrandt,68.0,65.0,Orthodox,,d8c7c61b176e3994
Leonard Garcia,70.0,68.0,Orthodox,,917e53fa0adea0d3
Edgar Garcia,70.0,71.0,Orthodox,,8d49545dadf9b919
Alejandro Garcia,67.0,,,,e5dc36e0aba7e9da
Alex Garcia,69.0,72.0,Orthodox,,a2b12c3f3d60ff69
Nick Garcia,64.0,,,,8a04d94dfcfab159
Steve Garcia,72.0,75.0,Southpaw,1992-05-22,97cf1a2c7c5e7889
Elias Garcia,65.0,67.0,Southpaw,,ac5a7400da3a9a41
Rafa Garcia,67.0,70.0,Orthodox,,e132d47bd9efbbe0
Fernie Garcia,67.0,67.0,Orthodox,,9e92e1ca498d7244
Rulon Gardner,75.0,,Orthodox,,4f7e290e71d60f87
David Gardner,71.0,,Orthodox,1977-05-17,70167689d6a01793
Ian Garry,75.0,74.0,Orthodox,,442c9011034ae1fd
Pablo Garza,73.0,73.0,Orthodox,,8e5bfd4e82352340
Azamat Gashimov,66.0,,Orthodox,,a1b0715c4fd2dbd3
Brian Gassaway,73.0,,Orthodox,,e4770d5ed44a3970
Kelvin Gastelum,69.0,71.0,Southpaw,,8c0580d4fff106c1
Willie Gates,68.0,72.0,Orthodox,,6ded9184b2284645
Melissa Gatto,65.0,69.0,Orthodox,,a4a80dd7336ffd59
Louis Gaudinot,63.0,63.0,Orthodox,,b72a60a0cadff408
Manuel Gaxhja,68.0,,Switch,,618643d0d5c0631d
Charlene Gellner,62.0,,,,effd0b70e6749ab2
Chad George,66.0,68.0,Southpaw,,14e797332ea32cdb
Paul Georgieff,74.0,,Orthodox,,2f1700b3a4a09bc7
Brian Geraghty,67.0,,Orthodox,,15edcf67ccf5be84
Derek Getzel,72.0,,,,42883268854b78be
Karine Gevorgyan,64.0,63.0,,,2db0c114414d4f06
Darrel Gholar,68.0,,Orthodox,,a24e080000fa7a35
Tiki Ghosn,70.0,,Orthodox,,cb6783c39c01d896
Christos Giagos,70.0,71.0,Orthodox,,de45aaae23dfa392
Joe Giannetti,72.0,74.0,Southpaw,,946db8a378903cc3
Nick Gibbons,70.0,,,,96a221341035b701
James Giboo,71.0,,Orthodox,,f74e037b97917027
Lance Gibson,69.0,,Orthodox,,63eedfcc73071d41
Lee Gibson,67.0,,,,69db199087a1a792
Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
Chase Gibson,70.0,72.0,Orthodox,,09439946214993bc
Kenny Giddens,71.0,,,,db8b800176d26f6e
Thomas Gifford,73.0,75.0,Orthodox,,e7f51d9f9e9259e7
Joseph Gigliotti,71.0,,Orthodox,,83825fad27ab3581
Joey Gilbert,71.0,,Orthodox,,6bb1d2b714d4b3bc
Trevin Giles,72.0,74.0,Orthodox,,b27a1fcb56a3035a
Kultar Gill,72.0,,Orthodox,,42c96a9c4802e2e1
Jesse Gillespie,,,,,160b931119c1bf91
Gregor Gillespie,67.0,71.0,Orthodox,,84ff027394f7e470
Jason Gilliam,72.0,,Orthodox,,91720876db0ee468
Micheal Gillmore,71.0,72.0,Orthodox,,ce175eaafe867d1f
Krishaun Gilmore,,,,,10ccdcd14c3dfcf1
Alex Gilpin,67.0,,Orthodox,,762c69860eef65d8
Bob Gilstrap,75.0,,Orthodox,,c96518b7f6881004
Demetrius Gioulacos,71.0,,,,a58114c6dd0add64
Billy Giovanella,68.0,,,,c1ea31a904fe08a9
He-Man Gipson,,,,,3e03cec9767d37e6
Israel Giron,68.0,,,,4b4f6abdce986be6
Brandon Girtz,67.0,,,,81f1810f72df8f25
Jason Glaza,72.0,,,,fda067e842b07466
Mike Glenn,,,,,ed133185689088b3
Ricky Glenn,72.0,70.0,Southpaw,,814ff3018127e8fc
Mark Godbeer,76.0,77.0,Orthodox,,ad56b3f00ca38dfd
Clint Godfrey,66.0,,Southpaw,,bd85ca0bb4f26cfc
Loopy Godinez,62.0,61.0,Orthodox,,8e5d953bdb9ae5e7
Jason Godsey,74.0,,Orthodox,,5ca158b1cc9cb242
Allan Goes,72.0,,Orthodox,,e62b36885ecdac27
Jonny Goh,71.0,,,,e86af30738a5452a
Hannah Goldy,64.0,61.0,Orthodox,1992-05-18,26e3f3928b1891d9
Marcelo Golm,75.0,75.0,Orthodox,,ac29d508d78384c9
Sergio Gomez,66.0,,Orthodox,,af1e5c64b8663aa0
Frank Gomez,70.0,67.0,Orthodox,,a0a680fe2f6cc8e6
Alan Gomez,,,,,0a66de3a797cf73a
David Gomez,,,,,489413d3be819647
Ulysses Gomez,66.0,,Orthodox,1983-05-25,1e35aa8955794580
Joey Gomez,70.0,73.0,Orthodox,,0778f94eb5d588a5
Luis Gomez,67.0,68.0,Orthodox,,513e84bfe65ff509
Joey Gomez,70.0,71.0,Orthodox,,3a28e1e641366308
Edson Gomez,68.0,69.0,Switch,,e90f4291f93708e6
Silvana Gomez Juarez,63.0,65.0,Orthodox,,b4880ef2f838d4e1
Takanori Gomi,67.0,70.0,Southpaw,,3be081c29bf734d9
Akihiro Gono,67.0,68.0,Switch,,b2acebbef8da14ea
Gabriel Gonzaga,74.0,76.0,Orthodox,1979-05-18,270b89c00ef0c55c
Justin Gonzales,69.0,72.0,Orthodox,,94535f76f43b466a
Fernando Gonzalez,69.0,68.0,Southpaw,,be5aab761c40ef35
Nick Gonzalez,66.0,,Orthodox,,28d8638ea0a71908
Fabian Gonzalez,70.0,,,,69c071bc2621e8b0
Lewis Gonzalez,70.0,,Orthodox,,2ff2e6e5abea3e53
Jason Gonzalez,74.0,74.0,Southpaw,,e45cfa47f504033a
Pearl Gonzalez,64.0,,Orthodox,,1ebdcb7488d0ebee
Jorge Gonzalez,74.0,76.0,Orthodox,,ff175a137b395e2b
Mikey Gonzalez,71.0,74.0,Orthodox,,de47c33e48b0ce38
Erick Gonzalez,71.0,75.0,Orthodox,,a2ccf35a88346a91
Jennifer Gonzalez,62.0,,,,4f1a48f4e6ffb007
Kier Gooch,,,,,1bda4867f1baceac
Lyman Good,72.0,74.0,Orthodox,1985-05-26,4e0692ad070976e4
Jared Gooden,72.0,77.0,Orthodox,,c730a0be691dc081
Gary Goodridge,75.0,,Orthodox,,fbbde91f7bc2d3c5
Jordan Goodwin,,,,,7f98d9d5a10fa25c
Gerard Gordeau,77.0,,Orthodox,,279093302a6f44b3
Eddie Gordon,72.0,76.0,Orthodox,,8cad40a75e5c97f5
Jared Gordon,69.0,68.0,Orthodox,,7026eca45f65377b
Tebaris Gordon,73.0,,Orthodox,,68c4ca70067bf282
Malcolm Gordon,67.0,71.0,Switch,1990-05-19,dee294e9717012c2
Tresean Gore,72.0,75.0,Switch,,147e70aa6cc48cfc
Alex Gorgees,74.0,74.0,Switch,,803bebcfb6d6f506
Tim Gorman,65.0,,Southpaw,,c10eb2f12c489f6d
Chase Gormley,75.0,,Orthodox,,052ceb8976695342
Jonathan Goulet,72.0,73.0,Orthodox,,fb1538b46877a695
Thibault Gouti,70.0,72.0,Orthodox,,51e86de150ee8be6
Wilson Gouveia,73.0,76.0,Orthodox,,af5b208e97f5d382
Todd Gouwenberg,73.0,,Orthodox,,c44acf87e376c62b
Hugo Govea,,,,,2391a73686200c5d
Justin Governale,,,,,ae954fd497025462
Damian Grabowski,73.0,75.0,Orthodox,1980-05-12,3f11b5d4bd76a6d9
Royce Gracie,73.0,,Southpaw,,429e7d3725852ce9
Crosley Gracie,69.0,,Orthodox,,52d92050a046bc17
Daniel Gracie,74.0,,Orthodox,,82d6a9ae41aac3f7
Ralph Gracie,69.0,,Orthodox,,a9c45a8b21eabadc
Renzo Gracie,70.0,,Orthodox,,aae0897825336b1a
Rickson Gracie,70.0,,Switch,,194fc025f9355db6
Rodrigo Gracie,72.0,,Orthodox,,36877f0e62b25b96
Royler Gracie,68.0,,Southpaw,,b807814d977682eb
Ryan Gracie,69.0,,Orthodox,,0c3838c8f7c620c2
Ralek Gracie,74.0,,Orthodox,,84283233ec42be5f
Rolles Gracie,76.0,,Orthodox,,e4a9dbade7c7e1a7
Cesar Gracie,70.0,,Orthodox,,079488710f012779
Roger Gracie,76.0,79.0,Orthodox,,a6bbd3df469c6bea
Igor Gracie,71.0,,,,722b870449243083
Neiman Gracie,72.0,,,,12d855d12a624da2
Kron Gracie,69.0,70.0,Southpaw,,242d36d241b43c12
Steven Graham,73.0,,Orthodox,,3e514f437c51ce0a
Scott Graham,76.0,,Orthodox,,6e4acc2c115215b5
Miranda Granger,67.0,68.0,Orthodox,,7559395ad833c074
TJ Grant,70.0,72.0,Orthodox,,a26198ba5093147e
Davey Grant,68.0,69.0,Orthodox,,113df4fde64735c6
Dwight Grant,73.0,76.0,Switch,,8be158ca1e5ea6a0
Alexa Grasso,65.0,66.0,Orthodox,,e8b731feff72294b
Tony Gravely,65.0,69.0,Orthodox,,601964f9654f911a
Michael Graves,70.0,71.0,Orthodox,,3f1d23b01c552a13
Shelton Graves,74.0,76.0,Southpaw,,642862d6d63605cd
James Gray,69.0,,Orthodox,,2db65fc038c0018e
Kevin Gray,64.0,67.0,Orthodox,1985-05-03,bb0d290026d7681d
Sam Greco,74.0,,Orthodox,1967-05-03,6d12031661db8ac8
Bobby Green,70.0,71.0,Orthodox,,887961364be5ceb3
Desmond Green,70.0,73.0,Southpaw,,f046d724d2a84ac5
Gabe Green,70.0,73.0,Switch,1993-05-02,5eb50529a8418b77
Maurice Greene,79.0,80.0,Orthodox,,068f8a189a47fea6
Matt Grice,68.0,70.0,Orthodox,,bfc2fc38a0e20211
Forrest Griffin,75.0,77.0,Orthodox,,fcffee71cff5530e
Tyson Griffin,66.0,68.0,Orthodox,,20205040232ed0f3
Max Griffin,71.0,76.0,Orthodox,,b0d6a1d8ac3d563d
Jordan Griffin,70.0,73.0,Southpaw,,ebef46976554f975
Chad Griggs,73.0,73.0,Orthodox,1978-05-15,fdf18227faa596dd
Chuck Grigsby,78.0,,Orthodox,,7fb4234670271505
Rodrigo Gripp de Sousa,71.0,,Orthodox,,dde70a112e053a6c
Maxim Grishin,75.0,78.0,Orthodox,1984-05-02,950d0ef5c17157c5
Josh Grispi,71.0,74.0,Orthodox,,60ba33c3f555a7a3
Garrett Gross,69.0,,Orthodox,,6741218640534d8b
Kendall Grove,78.0,79.0,Orthodox,,234f3767ff0e5701
Neil Grove,78.0,,Orthodox,,36a432f22144843e
Chris Gruetzemacher,68.0,68.0,Orthodox,,feaf00f3373435d6
Vik Grujic,71.0,73.0,Orthodox,,1e7483dbff40b84b
Mike Grundy,67.0,72.0,Orthodox,,56fcb2c4d99f9d1b
Wang Guan,69.0,71.0,Orthodox,,dd12382f28296f7b
Nandor Guelmino,75.0,,,,1abfb658cd4f8533
Fabricio Guerreiro,70.0,,,,2963369e327e1979
Shannon Gugerty,70.0,71.0,Orthodox,,9f1641c08cf8fbe2
Clay Guida,67.0,70.0,Orthodox,,c47df9303d318c67
Jason Guida,70.0,,,,ce25b4ed82b1811b
Melvin Guillard,69.0,71.0,Orthodox,,ccd1299e0345e0ce
Chris Guillen,72.0,,Orthodox,,da0f33e4255f99eb
Marcelo Guimaraes,72.0,73.0,Orthodox,,0c9c0a43d3f3f49d
Leonardo Guimaraes,72.0,,Orthodox,,cc98d857b148e33a
Brad Gumm,71.0,,Orthodox,,4d74641fac830182
John Gunderson,69.0,69.0,Orthodox,,a0c139b34f11421a
John Gunther,69.0,72.0,Orthodox,,3956bdc8ab2e54b3
Jorge Gurgel,67.0,69.0,Orthodox,,04d5718ed2661e8c
Fabio Gurgel,72.0,,Orthodox,,8377c5572cb356f3
Andre Gusmao,72.0,,Orthodox,1977-05-19,cc300e9aa3063431
Alexander Gustafsson,77.0,79.0,Orthodox,,3c6976f8182d9527
Justin Guthrie,73.0,,,,a789defa9086da46
Horacio Gutierrez,70.0,,,,cd85b48dc880fabd
Chris Gutierrez,69.0,67.0,Orthodox,,45f0cc9d18f35137
Mike Guymon,72.0,74.0,Orthodox,,eaea0fc7b76525a8
Chelsea Hackett,64.0,66.0,Switch,,184b7a36d50dcc5e
Keith Hackney,71.0,,Sideways,,bf12aca029bfcc47
Jake Hadley,67.0,70.0,Southpaw,,60a42bf82447c919
Steve Hadsel,68.0,,,,99793cf88c5adeee
Damir Hadzovic,69.0,70.0,Orthodox,,38c626ca912c7bac
Tim Hague,76.0,76.0,Orthodox,1983-05-09,219a254e15d60135
Yazan Hajeh,69.0,,Orthodox,,4955c524c2a71469
Stoney Hale,72.0,,,,206a7d47eb62170e
Kevin Haley,74.0,,,,439d4bbefd4e6940
Mark Hall,72.0,,Orthodox,,18524b46c570730b
Uriah Hall,72.0,79.0,Orthodox,,65578a75fa7900e3
Ryan Hall,70.0,70.0,Southpaw,,8866c6f509c19089
Dennis Hallman,69.0,72.0,Orthodox,,8a8a84b743ae7699
Piotr Hallmann,69.0,71.0,Orthodox,,a3be148af5c7b088
Tony Halme,75.0,,Orthodox,,bad28b7b34f334de
Brandon Halsey,72.0,,,,e763679f15326ae1
John Halverson,69.0,,Southpaw,,88c8f47241d90040
Seo Hee Ham,62.0,62.0,Southpaw,,165c244bcca3ed26
Frank Hamaker,,,,,c3c23c99477c041b
Kazuhiro Hamanaka,72.0,,Southpaw,,1b4d6971bb18b82c
Matt Hamill,73.0,76.0,Orthodox,,98b80a717b9bda17
Jeremy Hamilton,,,,,7ada6ea792a34424
Anthony Hamilton,77.0,76.0,Orthodox,,c727c7d31c50c4cf
CJ Hamilton,67.0,68.0,Switch,,7da5839b223f3728
Jared Hamman,75.0,75.0,Orthodox,,23459ee7e373b98f
James Hammortree,75.0,,Orthodox,,1f77fce698e80488
Dean Hancock,,,,,24e9d6b0a24cff9d
Joachim Hansen,67.0,,Southpaw,1979-05-26,86e388ed20761ad9
Kay Hansen,62.0,63.0,Orthodox,,4100c7a09497ad41
Nasrat Haqparast,70.0,72.0,Southpaw,,b7b84ccd221be298
Janay Harding,,,,,b9c3ee342eb72100
Antoni Hardonk,76.0,78.0,Orthodox,,69b69c0178c4004d
Dan Hardy,72.0,74.0,Orthodox,1982-05-17,473ce3aa581251a2
Greg Hardy,77.0,80.0,Orthodox,,85073dbd1be65ed9
Baru Harn,,,,,848809f3986b4977
Scott Harper,72.0,,Orthodox,,14a433bccba87016
Gerry Harris,80.0,,Orthodox,,30cd319d39ee689b
Gerald Harris,71.0,77.0,Southpaw,,c4b81cdecd5d6abe
Phil Harris,64.0,65.0,Orthodox,,ba043b03eb799063
Walt Harris,77.0,77.0,Southpaw,,03f982ca3735070c
Dhafir Harris,,,,,0e96af5220d27ed4
Trevor Harris,66.0,,,,0e98b05d3cf6d271
Carlston Harris,72.0,76.0,Orthodox,,a53d30163304aa6e
Collin Hart,73.0,,Orthodox,,16bf6a73bdd302cd
Dale Hartt,70.0,69.0,Orthodox,,058e4e08a1ad8aba
Luke Hartwig,,,,,34f3869747bf8fa9
Clay Harvison,73.0,74.0,Orthodox,,83a477a7dba1ca58
Hidehiko Hasegawa,69.0,,,,2a2eeee20ef049cf
Chris Haseman,71.0,,Orthodox,,5bd533d50c8e7b8a
Takayo Hashi,64.0,,Orthodox,,ae4343d29c68e9d0
Tomohiko Hashimoto,72.0,,Orthodox,,a890f9a791ed615d
Justin Haskins,70.0,,Orthodox,,77940e45bc86208e
Hayder Hassan,70.0,,,,cf615eb4b7862c76
Daiki Hata,66.0,,Orthodox,,c76ceda100ac0fad
John Hathaway,73.0,75.0,Orthodox,,28f3c2258a1d8874
Phil Hawes,72.0,77.0,Orthodox,,547afe1017e72dbe
Justin Hawes,71.0,,,,5c7fc58e782b6842
Chris Hawk,73.0,,,,9460c867aae1987e
Del Hawkins,65.0,,Orthodox,,885e7f70dcac0007
Tommy Hayden,69.0,,Southpaw,,0871254cd790c250
Mike Hayes,76.0,,Orthodox,,0cfbbfa0ba6d9855
Ryan Hayes,,,,,a620638435de0628
Gerric Hayes,70.0,,,,7d6a3546c988cdc0
Josh Haynes,69.0,,Orthodox,,6ef58dabef8beb15
Dustin Hazelett,73.0,76.0,Orthodox,,a149d6bc670cdb60
James Head,73.0,73.0,Orthodox,,19a8cce18a1cef9e
Pat Healy,72.0,72.0,Orthodox,,50d2f0018bcf9eef
Ryan Healy,73.0,,Orthodox,,f3eb664db7fb1df3
Spencer Hearns,71.0,,,,d85cf12439945941
David Heath,71.0,72.0,Orthodox,,4f95f74620a6b7a4
Chris Heatherly,69.0,,Orthodox,,bad8be5827ea1bf1
Jake Hecht,72.0,73.0,Orthodox,,e57fdbea1b828202
Nick Hein,66.0,66.0,Southpaw,,2816ced060a21be3
Ian Heinisch,71.0,72.0,Orthodox,,2e585c701f72fe55
Marcin Held,69.0,71.0,Orthodox,,bf43fed8f29e1671
Delson Heleno,71.0,,Orthodox,,970beed85bc46b63
Matt Helm,,,,,cacfd51b8e97ace0
Elisha Helsper,66.0,,Orthodox,,0971be7d94e109e1
Dan Henderson,71.0,74.0,Orthodox,,1ccf4e7caff270df
Benson Henderson,69.0,70.0,Southpaw,,2676b28836a5a836
Ron Henderson,70.0,,,,498f0d066396ec59
Josh Hendricks,74.0,,Southpaw,,7649c4c95b824488
Johny Hendricks,69.0,69.0,Southpaw,,0941df56f6ac954b
Cory Hendricks,75.0,,,1988-05-10,9ab9912e0f8fa6d6
Luis Henrique,74.0,74.0,Orthodox,,e5bda12faabfc850
Diego Henrique da Silva,74.0,,Orthodox,,1649770c649db6a5
Danny Henry,72.0,73.0,Orthodox,,f7d73e452b064bf2
Victor Henry,67.0,68.0,Switch,1987-05-04,eb8d8c2a95cfccb8
TJ Hepburn,67.0,,,,e1acbb6352ca3551
Jai Herbert,73.0,77.0,Orthodox,1988-05-13,4c88a1db5a46c6a4
Ed Herman,73.0,77.0,Orthodox,,06f36cf4bd97ec77
Dave Herman,76.0,77.0,Orthodox,,cbd6f1abf955e628
Jack Hermansson,73.0,77.0,Orthodox,,0a1942069c9ad6b6
Noe Hernandez,,,Orthodox,,df2cf66d8c0123db
Joe Hernandez,,,,,4a76daef28549957
Ramiro Hernandez,69.0,,Orthodox,,915c8d39d4a0e7d1
Alexander Hernandez,69.0,72.0,Orthodox,,262a7d06203657e6
Anthony Hernandez,72.0,75.0,Orthodox,,093e1f5bb73850be
Nohelin Hernandez,70.0,71.0,Orthodox,,f97c5433c77522d3
Carlos Hernandez,68.0,67.0,Orthodox,,798e48f9e7f6ba22
Paul Herrera,70.0,,Orthodox,,440c9dbab63528fb
Chris Herrera,70.0,,,,f71028a6e5128856
Geane Herrera,65.0,66.0,Orthodox,1990-05-27,c169545ab0825f44
Alvaro Herrera Mendoza,72.0,74.0,Orthodox,1990-05-14,74d35fbc9c6a61bd
Felice Herrig,64.0,65.0,Orthodox,,b6850671a008bf9a
Heath Herring,76.0,78.0,Orthodox,,7450525c7ba032a0
Jon Hess,79.0,,,,32a3025d5db456ae
Clint Hester,74.0,77.0,Orthodox,,92b62174c175ce19
Brandon Hester,73.0,,,,13150cf89a5b81e0
