event,outcome,weightclass,method,round,time,fight_id,fighter1,fighter2,date,L_f1,W_f1,fights_f1,L_f2,W_f2,fights_f2,fighter_x,height_x,reach_x,stance_x,dob_x,fighter_id_x,fighter_y,height_y,reach_y,stance_y,dob_y,fighter_id_y
UFC Fight Night: Makhachev vs. Moises,1.0,lw,sub,4,158,7d4c160dab6eae73,Islam Makhachev,Thiago Moises,2021-07-17,0.0,7.0,7.0,4.0,3.0,7.0,Islam Makhachev,70.0,70.0,Southpaw,,275aca31f61ba28c,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Rozenstruik vs. Gane,0.0,lw,dec_una,3,300,3eac2d47ac252f4b,Alexander Hernandez,Thiago Moises,2021-02-27,,,,4.0,3.0,7.0,Alexander Hernandez,69.0,72.0,Orthodox,,262a7d06203657e6,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Hall vs. Silva,0.0,lw,dec_una,3,300,6915d46b49999f60,Bobby Green,Thiago Moises,2020-10-31,5.0,4.0,9.0,4.0,3.0,7.0,Bobby Green,70.0,71.0,Orthodox,,887961364be5ceb3,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Smith vs. Teixeira,0.0,lw,sub,2,25,87f58feac6b50367,Michael Johnson,Thiago Moises,2020-05-13,9.0,8.0,17.0,4.0,3.0,7.0,Michael Johnson,70.0,73.0,Southpaw,,511e82663651438d,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Andrade vs. Zhang,1.0,lw,dec_una,3,300,060dfbc982c6c4ef,Damir Ismagulov,Thiago Moises,2019-08-31,1.0,3.0,4.0,4.0,3.0,7.0,Damir Ismagulov,70.0,74.0,Orthodox,,135d124172a0bea3,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Korean Zombie vs. Rodriguez,1.0,lw,dec_una,3,300,14cf0828d6e373ab,Beneil Dariush,Thiago Moises,2018-11-10,3.0,8.0,11.0,4.0,3.0,7.0,Beneil Dariush,70.0,72.0,Southpaw,1989-05-06,08af939f41b5a57b,Thiago Moises,69.0,70.0,Orthodox,,d945aae53e3e54e6
UFC Fight Night: Gane vs. Spivac,1.0,lhw,sub,1,226,5098d052525da54f,Volkan Oezdemir,Bogdan Guskov,2023-09-02,4.0,4.0,8.0,1.0,0.0,1.0,Volkan Oezdemir,74.0,75.0,Orthodox,,0845c81e37d3bcb3,Bogdan Guskov,,,,,ef5dcb10d2bd4b0f
UFC Fight Night: Gane vs. Spivac,1.0,ftw,ko_tko,3,140,1c29c53ff032c5c1,William Gomis,Yanis Ghemmouri,2023-09-02,0.0,2.0,2.0,1.0,0.0,1.0,William Gomis,,,,,e1d40e8782d80bc2,Yanis Ghemmouri,,,,,eb70e786bbdf1d16
UFC Fight Night: Gane vs. Spivac,1.0,ftw,ko_tko,1,231,0d41a3fa5efef91b,Morgan Charriere,Manolo Zecchini,2023-09-02,0.0,1.0,1.0,1.0,0.0,1.0,Morgan Charriere,,,,,5b03b61f9d90125e,Manolo Zecchini,,,,,fd7ab338e4953644
UFC Fight Night: Gane vs. Spivac,1.0,bw,dec_una,3,300,1b9a127f9dadaad9,Taylor Lapilus,Caolan Loughran,2023-09-02,0.0,4.0,4.0,1.0,0.0,1.0,Taylor Lapilus,66.0,73.0,Southpaw,,8b1ed83b02303075,Caolan Loughran,,,,,42ac4020cba261ad
UFC Fight Night: Gane vs. Spivac,1.0,ww,dec_una,3,300,1be27d95bba03f17,Ange Loosa,Rhys McKee,2023-09-02,0.0,1.0,1.0,3.0,0.0,3.0,Ange Loosa,70.0,74.0,Orthodox,,1497e735d9f2560a,Rhys McKee,74.0,78.0,Orthodox,,f748267c4ab6c127
UFC Fight Night: Felder vs. Dos Anjos,1.0,ww,dec_una,3,300,d80fd2ec736f7df2,Alex Morono,Rhys McKee,2020-11-14,2.0,5.0,7.0,3.0,0.0,3.0,Alex Morono,71.0,72.0,Orthodox,,cdb96af67d096b1e,Rhys McKee,74.0,78.0,Orthodox,,f748267c4ab6c127
UFC Fight Night: Whittaker vs. Till,1.0,ww,ko_tko,1,189,573d3a6984cbcd29,Khamzat Chimaev,Rhys McKee,2020-07-25,0.0,2.0,2.0,3.0,0.0,3.0,Khamzat Chimaev,74.0,75.0,Orthodox,1994-05-01,767755fd74662dbf,Rhys McKee,74.0,78.0,Orthodox,,f748267c4ab6c127
UFC Fight Night: Gane vs. Spivac,1.0,wbw,dec_una,3,300,e3a5a7ede88a2555,Nora Cornolle,Joselyne Edwards,2023-09-02,0.0,1.0,1.0,3.0,1.0,4.0,Nora Cornolle,,,,,f2b3f4ef3f780168,Joselyne Edwards,68.0,70.0,Orthodox,,f9ab66e67240db7b
UFC Fight Night: Costa vs. Vettori,1.0,wbw,dec_una,3,300,69167b996ce7a7e4,Jessica-Rose Clark,Joselyne Edwards,2021-10-23,5.0,2.0,7.0,3.0,1.0,4.0,Jessica-Rose Clark,65.0,64.0,Orthodox,,6c8072b61c276e67,Joselyne Edwards,68.0,70.0,Orthodox,,f9ab66e67240db7b
UFC Fight Night: Overeem vs. Volkov,1.0,wbw,dec_una,3,300,8c34e1e0d842618d,Karol Rosa,Joselyne Edwards,2021-02-06,0.0,4.0,4.0,3.0,1.0,4.0,Karol Rosa,65.0,67.0,Orthodox,,351c4ec637380ad5,Joselyne Edwards,68.0,70.0,Orthodox,,f9ab66e67240db7b
UFC Fight Night: Holloway vs. Kattar,0.0,wbw,dec_una,3,300,97ad63e644757cf4,Wu Yanan,Joselyne Edwards,2021-01-16,,,,3.0,1.0,4.0,Wu Yanan,68.0,66.0,Orthodox,,fdbefee0827e1567,Joselyne Edwards,68.0,70.0,Orthodox,,f9ab66e67240db7b
UFC Fight Night: Gane vs. Spivac,1.0,bw,sub,1,255,ac73c6888ee9322c,Farid Basharat,Kleydson Rodrigues,2023-09-02,0.0,2.0,2.0,1.0,1.0,2.0,Farid Basharat,,,,,a09ed60aa67a3f67,Kleydson Rodrigues,66.0,67.0,Orthodox,,102a8fdf8cbf7467
UFC 284: Makhachev vs. Volkanovski,0.0,flw,ko_tko,1,59,16dbe70eb7007f17,Shannon Ross,Kleydson Rodrigues,2023-02-11,2.0,0.0,2.0,1.0,1.0,2.0,Shannon Ross,,,,1989-05-12,51c655162e462ceb,Kleydson Rodrigues,66.0,67.0,Orthodox,,102a8fdf8cbf7467
UFC 292: Sterling vs. O'Malley,0.0,ww,dec_una,3,300,78d2c01dc963f204,Neil Magny,Ian Garry,2023-08-19,6.0,15.0,21.0,0.0,2.0,2.0,Neil Magny,75.0,80.0,Orthodox,,84b3e7d38f2d2ec5,Ian Garry,75.0,74.0,Orthodox,,442c9011034ae1fd
UFC Fight Night: Rozenstruik vs. Almeida,0.0,ww,ko_tko,1,177,b0f4c7788782e26e,Daniel Rodriguez,Ian Garry,2023-05-13,2.0,3.0,5.0,0.0,2.0,2.0,Daniel Rodriguez,73.0,74.0,Southpaw,,8a1f3b5c526cd6e6,Ian Garry,75.0,74.0,Orthodox,,442c9011034ae1fd
UFC 292: Sterling vs. O'Malley,1.0,bw,dec_una,3,300,621e6f0929a3dbfc,Marlon Vera,Pedro Munhoz,2023-08-19,1.0,9.0,10.0,5.0,2.0,7.0,Marlon Vera,68.0,70.0,Switch,,7c7332319c14094c,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 265: Lewis vs. Gane,1.0,bw,dec_una,3,300,980927e7dcc131c0,Jose Aldo,Pedro Munhoz,2021-08-07,2.0,4.0,6.0,5.0,2.0,7.0,Jose Aldo,67.0,70.0,Orthodox,,d0f3959b4a9747e6,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 238: Cejudo vs. Moraes,1.0,bw,dec_una,3,300,17753b728e5404aa,Aljamain Sterling,Pedro Munhoz,2019-06-08,1.0,6.0,7.0,5.0,2.0,7.0,Aljamain Sterling,67.0,71.0,Orthodox,,cb696ebfb6598724,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 235: Jones vs. Smith,0.0,bw,ko_tko,1,292,39fa341fb9161d6f,Cody Garbrandt,Pedro Munhoz,2019-03-02,1.0,4.0,5.0,5.0,2.0,7.0,Cody Garbrandt,68.0,65.0,Orthodox,,d8c7c61b176e3994,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 222: Cyborg vs. Kunitskaya,1.0,bw,dec_spl,3,300,c73b81e7c1c1cccc,John Dodson,Pedro Munhoz,2018-03-03,3.0,9.0,12.0,5.0,2.0,7.0,John Dodson,63.0,66.0,Orthodox,,99506df1af6c8b3b,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC Fight Night: Dos Anjos vs. Alvarez,0.0,bw,sub,1,128,a815119606930378,Russell Doane,Pedro Munhoz,2016-07-07,2.0,0.0,2.0,5.0,2.0,7.0,Russell Doane,67.0,70.0,Orthodox,,f50d95223751e6ca,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 170: Rousey vs McMann,1.0,bw,dec_una,3,300,faaa7340f4ede814,Raphael Assuncao,Pedro Munhoz,2014-02-22,5.0,12.0,17.0,5.0,2.0,7.0,Raphael Assuncao,65.0,66.0,Orthodox,,2f13e4020cea5b38,Pedro Munhoz,66.0,65.0,Orthodox,,6bd02119599741a4
UFC 292: Sterling vs. O'Malley,0.0,mw,dec_una,3,300,1a95cc401f68f4c8,Chris Weidman,Brad Tavares,2023-08-19,4.0,1.0,5.0,1.0,8.0,9.0,Chris Weidman,74.0,78.0,Orthodox,,3a8176e15b9887c1,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC 264: Poirier vs. McGregor 3,0.0,mw,dec_spl,3,300,1aba46988c9b58f9,Omari Akhmedov,Brad Tavares,2021-07-10,3.0,3.0,6.0,1.0,8.0,9.0,Omari Akhmedov,72.0,73.0,Orthodox,,16690d100f995f8f,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC Fight Night: Poirier vs. Gaethje,0.0,mw,ko_tko,3,136,01c9acf719298187,Krzysztof Jotko,Brad Tavares,2018-04-14,4.0,2.0,6.0,1.0,8.0,9.0,Krzysztof Jotko,73.0,77.0,Southpaw,,4e06913c91da5200,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC 216: Ferguson vs. Lee,0.0,mw,dec_una,3,300,2142ff2a46d22741,Thales Leites,Brad Tavares,2017-10-07,3.0,6.0,9.0,1.0,8.0,9.0,Thales Leites,73.0,78.0,Orthodox,,cfb65863d5099327,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC Fight Night: Bader vs Saint Preux,1.0,mw,ko_tko,2,198,852442b380088fa5,Tim Boetsch,Brad Tavares,2014-08-16,5.0,4.0,9.0,1.0,8.0,9.0,Tim Boetsch,72.0,74.0,Orthodox,,c80095f6092271a7,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC Fight Night: Rockhold vs Philippou,0.0,mw,dec_una,3,300,8d6392d59e1ca099,Lorenz Larkin,Brad Tavares,2014-01-15,3.0,0.0,3.0,1.0,8.0,9.0,Lorenz Larkin,71.0,72.0,Orthodox,,9450848a71d53776,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC on FUEL TV: Silva vs. Stann,0.0,mw,dec_una,3,300,c79c00f5443c2f6e,Riki Fukuda,Brad Tavares,2013-03-02,1.0,2.0,3.0,1.0,8.0,9.0,Riki Fukuda,72.0,73.0,Southpaw,,7c35f869033901ae,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC on FUEL TV: Struve vs Miocic,0.0,mw,dec_spl,3,300,e34d313fbe1c28f1,Tom Watson,Brad Tavares,2012-09-29,1.0,2.0,3.0,1.0,8.0,9.0,Tom Watson,73.0,73.0,Orthodox,,6809c31286b08d97,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC 125: Resolution,0.0,mw,ko_tko,1,260,fbc7d73f7bf60b9c,Phil Baroni,Brad Tavares,2011-01-01,1.0,0.0,1.0,1.0,8.0,9.0,Phil Baroni,69.0,72.0,Orthodox,,1652f3213655b935,Brad Tavares,73.0,74.0,Orthodox,,0c6d9ea8306c029e
UFC 292: Sterling vs. O'Malley,1.0,lw,sub,2,159,62d53ad8f8769666,Kurt Holobaugh,Austin Hubbard,2023-08-19,1.0,1.0,2.0,4.0,1.0,5.0,Kurt Holobaugh,71.0,70.0,Orthodox,,a7151778b3381036,Austin Hubbard,70.0,71.0,Orthodox,,d2cd7a69cc55e7ed
UFC Fight Night: Cannonier vs. Gastelum,1.0,lw,dec_una,3,300,755d84d5f4aa4dbf,Vinc Pichel,Austin Hubbard,2021-08-21,2.0,3.0,5.0,4.0,1.0,5.0,Vinc Pichel,70.0,72.0,Orthodox,,c77a953488e5607d,Austin Hubbard,70.0,71.0,Orthodox,,d2cd7a69cc55e7ed
UFC 248: Adesanya vs. Romero,1.0,lw,dec_una,3,300,60c441c5838dfac2,Mark Madsen,Austin Hubbard,2020-03-07,0.0,2.0,2.0,4.0,1.0,5.0,Mark Madsen,68.0,72.0,Orthodox,,da0995f19b749cfa,Austin Hubbard,70.0,71.0,Orthodox,,d2cd7a69cc55e7ed
UFC Fight Night: Cowboy vs. Gaethje,0.0,lw,dec_una,3,300,acf658afda38d8af,Kyle Prepolec,Austin Hubbard,2019-09-14,1.0,0.0,1.0,4.0,1.0,5.0,Kyle Prepolec,70.0,70.0,Southpaw,,873626e5547b5235,Austin Hubbard,70.0,71.0,Orthodox,,d2cd7a69cc55e7ed
UFC Fight Night: Dos Anjos vs. Lee,1.0,lw,dec_una,3,300,65c1ca715dfdbe05,Davi Ramos,Austin Hubbard,2019-05-18,1.0,3.0,4.0,4.0,1.0,5.0,Davi Ramos,66.0,70.0,Orthodox,,0052de90691d4a93,Austin Hubbard,70.0,71.0,Orthodox,,d2cd7a69cc55e7ed
UFC 292: Sterling vs. O'Malley,1.0,bw,dec_una,3,300,e9754f597ec50f6f,Brad Katona,Cody Gibson,2023-08-19,3.0,2.0,5.0,3.0,1.0,4.0,Brad Katona,66.0,64.0,Orthodox,,7b433309b0fd12aa,Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
UFC Fight Night: Bigfoot vs Mir,1.0,bw,dec_una,3,300,10cff9ac7ce89c28,Douglas Silva de Andrade,Cody Gibson,2015-02-22,3.0,5.0,8.0,3.0,1.0,4.0,Douglas Silva de Andrade,67.0,68.0,Orthodox,,3a314d9fa7c6825d,Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
UFC 178: Johnson vs Cariaso,1.0,bw,sub,2,296,a49706a6edb0c5c3,Manvel Gamburyan,Cody Gibson,2014-09-27,2.0,3.0,5.0,3.0,1.0,4.0,Manvel Gamburyan,65.0,67.0,Orthodox,1981-05-08,cc6f9d1e89f3449a,Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
UFC Fight Night: Swanson vs Stephens,0.0,bw,ko_tko,1,38,4eae10815ebe78e3,Johnny Bedford,Cody Gibson,2014-06-28,1.0,1.0,2.0,3.0,1.0,4.0,Johnny Bedford,70.0,71.0,Orthodox,,ffc3e6daaa6da0b7,Cody Gibson,70.0,71.0,Orthodox,,700a674c042b7a96
UFC 292: Sterling vs. O'Malley,1.0,mw,dec_spl,3,300,9f7c28381b6913c8,Andre Petroski,Gerald Meerschaert,2023-08-19,1.0,3.0,4.0,7.0,7.0,14.0,Andre Petroski,72.0,73.0,Switch,,5f61780fe5e9b6d0,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Vera vs. Cruz,0.0,mw,sub,3,99,38b6ef176439c39b,Bruno Silva,Gerald Meerschaert,2022-08-13,3.0,2.0,5.0,7.0,7.0,14.0,Bruno Silva,64.0,65.0,Orthodox,,294aa73dbf37d281,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Vera vs. Cruz,0.0,mw,sub,3,99,38b6ef176439c39b,Bruno Silva,Gerald Meerschaert,2022-08-13,3.0,2.0,5.0,7.0,7.0,14.0,Bruno Silva,72.0,74.0,Orthodox,,12ebd7d157e91701,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Font vs. Vera,1.0,mw,dec_una,3,300,6b956992204ec040,Krzysztof Jotko,Gerald Meerschaert,2022-04-30,4.0,2.0,6.0,7.0,7.0,14.0,Krzysztof Jotko,73.0,77.0,Southpaw,,4e06913c91da5200,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Lewis vs. Daukaus,0.0,mw,sub,3,178,bdaca0a96d44438a,Dustin Stoltzfus,Gerald Meerschaert,2021-12-18,1.0,0.0,1.0,7.0,7.0,14.0,Dustin Stoltzfus,72.0,75.0,Orthodox,,71505842fb6455c3,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Barboza vs. Chikadze,0.0,mw,sub,2,109,1de342e9309c5f0f,Makhmud Muradov,Gerald Meerschaert,2021-08-28,2.0,2.0,4.0,7.0,7.0,14.0,Makhmud Muradov,74.0,75.0,Orthodox,,ea7e5bc78d9de658,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Whittaker vs. Gastelum,0.0,mw,sub,1,120,627c0a50cff30405,Bartosz Fabinski,Gerald Meerschaert,2021-04-17,1.0,1.0,2.0,7.0,7.0,14.0,Bartosz Fabinski,72.0,75.0,Orthodox,,e17ac6410c8377f4,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Covington vs. Woodley,1.0,mw,ko_tko,1,17,498766b46b8b4a7f,Khamzat Chimaev,Gerald Meerschaert,2020-09-19,0.0,2.0,2.0,7.0,7.0,14.0,Khamzat Chimaev,74.0,75.0,Orthodox,1994-05-01,767755fd74662dbf,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC 250: Nunes vs. Spencer,1.0,mw,ko_tko,1,74,6fe8bce03a46350b,Ian Heinisch,Gerald Meerschaert,2020-06-06,1.0,1.0,2.0,7.0,7.0,14.0,Ian Heinisch,71.0,72.0,Orthodox,,2e585c701f72fe55,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Joanna vs. Waterson,1.0,mw,dec_spl,3,300,834f67e96612cd6f,Eryk Anders,Gerald Meerschaert,2019-10-12,3.0,6.0,9.0,7.0,7.0,14.0,Eryk Anders,73.0,75.0,Southpaw,,cad24459b28592ca,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Covington vs. Lawler,0.0,mw,sub,3,109,dc49373c52eedaa3,Trevin Giles,Gerald Meerschaert,2019-08-03,2.0,6.0,8.0,7.0,7.0,14.0,Trevin Giles,72.0,74.0,Orthodox,,b27a1fcb56a3035a,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Barboza vs. Gaethje,1.0,mw,dec_spl,3,300,7dc3ada8f2135477,Kevin Holland,Gerald Meerschaert,2019-03-30,1.0,9.0,10.0,7.0,7.0,14.0,Kevin Holland,75.0,81.0,Orthodox,,3a46b268013afede,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
The Ultimate Fighter: A New World Champion Finale,0.0,mw,ko_tko,2,138,52db9c816eb99800,Eric Spicely,Gerald Meerschaert,2017-12-01,3.0,1.0,4.0,7.0,7.0,14.0,Eric Spicely,73.0,73.0,Orthodox,,b9664eae2ac75262,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC 213: Romero vs. Whittaker,1.0,mw,ko_tko,2,124,323fb015ca2444e3,Thiago Santos,Gerald Meerschaert,2017-07-08,5.0,9.0,14.0,7.0,7.0,14.0,Thiago Santos,74.0,76.0,Orthodox,,dea070ed4a2a8281,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC Fight Night: Lewis vs. Abdurakhimov,0.0,mw,sub,1,252,85feac6924abb35b,Joseph Gigliotti,Gerald Meerschaert,2016-12-09,1.0,0.0,1.0,7.0,7.0,14.0,Joseph Gigliotti,71.0,,Orthodox,,83825fad27ab3581,Gerald Meerschaert,73.0,77.0,Southpaw,,6ac9bc2953c47345
UFC 292: Sterling vs. O'Malley,1.0,wflw,sub,1,299,f329bd89e375d6df,Karine Silva,Maryna Moroz,2023-08-19,0.0,3.0,3.0,3.0,3.0,6.0,Karine Silva,65.0,67.0,Orthodox,,9d62c2d8ee151f08,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Nzechukwu vs. Cutelaba,1.0,wflw,dec_una,3,300,144443d4dbf43990,Jennifer Maia,Maryna Moroz,2022-11-19,2.0,3.0,5.0,3.0,3.0,6.0,Jennifer Maia,64.0,64.0,Orthodox,,8e1f36476ef02a6a,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Lee vs. Oliveira,0.0,wflw,dec_una,3,300,2a1826612a7d739c,Mayra Bueno Silva,Maryna Moroz,2020-03-14,1.0,4.0,5.0,3.0,3.0,6.0,Mayra Bueno Silva,66.0,66.0,Orthodox,,cc8c623cca88f54f,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Barboza vs. Gaethje,0.0,wflw,dec_una,3,300,b695fc80bd538172,Sabina Mazo,Maryna Moroz,2019-03-30,3.0,3.0,6.0,3.0,3.0,6.0,Sabina Mazo,67.0,70.0,Orthodox,,70d2329a92864fdb,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Chiesa vs. Lee,1.0,wsw,dec_una,3,300,1bd52b0c01018f4a,Carla Esparza,Maryna Moroz,2017-06-25,2.0,6.0,8.0,3.0,3.0,6.0,Carla Esparza,61.0,63.0,Orthodox,,d910665038efc639,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Gonzaga vs Cro Cop 2,0.0,wsw,sub,1,90,fe9a58e79d54695b,Joanne Wood,Maryna Moroz,2015-04-11,5.0,6.0,11.0,3.0,3.0,6.0,Joanne Wood,66.0,65.0,Orthodox,,12f91bfa8f1f723b,Maryna Moroz,67.0,67.0,Orthodox,,b4192a975027aab6
UFC Fight Night: Luque vs. Dos Anjos,1.0,ww,dec_una,5,300,e346f2b7af63e804,Vicente Luque,Rafael Dos Anjos,2023-08-12,2.0,12.0,14.0,3.0,10.0,13.0,Vicente Luque,71.0,75.0,Orthodox,,6d4b63c767106d3a,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Thompson vs. Holland,0.0,ww,sub,2,200,f17813d03fcd8e7a,Bryan Barberena,Rafael Dos Anjos,2022-12-03,4.0,3.0,7.0,3.0,10.0,13.0,Bryan Barberena,72.0,72.0,Southpaw,1989-05-03,a331233f597090a5,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Felder vs. Dos Anjos,0.0,lw,dec_spl,5,300,80cb3cf9134b677c,Paul Felder,Rafael Dos Anjos,2020-11-14,3.0,2.0,5.0,3.0,10.0,13.0,Paul Felder,71.0,70.0,Orthodox,,e5010b1b94ca5755,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Lawler vs. Dos Anjos,0.0,ww,dec_una,5,300,d9375ede2ec2f924,Robbie Lawler,Rafael Dos Anjos,2017-12-16,4.0,5.0,9.0,3.0,10.0,13.0,Robbie Lawler,71.0,74.0,Southpaw,,f2925e6db404bf1d,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 215: Nunes vs Shevchenko 2,0.0,ww,sub,1,223,b6082b551288aa5a,Neil Magny,Rafael Dos Anjos,2017-09-09,6.0,15.0,21.0,3.0,10.0,13.0,Neil Magny,75.0,80.0,Orthodox,,84b3e7d38f2d2ec5,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Holm vs. Correia,0.0,ww,dec_una,3,300,a69a155a25b84679,Tarec Saffiedine,Rafael Dos Anjos,2017-06-17,2.0,2.0,4.0,3.0,10.0,13.0,Tarec Saffiedine,70.0,70.0,Switch,,0749d968e932df53,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Henderson vs Dos Anjos,0.0,lw,ko_tko,1,151,351532f2fe6804d1,Benson Henderson,Rafael Dos Anjos,2014-08-23,1.0,4.0,5.0,3.0,10.0,13.0,Benson Henderson,69.0,70.0,Southpaw,,2676b28836a5a836,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Condit vs Kampmann 2,0.0,lw,dec_una,3,300,ca17e1385ef98e57,Donald Cerrone,Rafael Dos Anjos,2013-08-28,6.0,18.0,24.0,3.0,10.0,13.0,Donald Cerrone,73.0,73.0,Orthodox,,1d00756835ca67c9,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 154: St-Pierre vs Condit,0.0,lw,dec_una,3,300,a65cf6951e097273,Mark Bocek,Rafael Dos Anjos,2012-11-17,2.0,4.0,6.0,3.0,10.0,13.0,Mark Bocek,68.0,75.0,Orthodox,,cf9d24e4bd0cf2ce,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 139: Shogun vs Henderson,1.0,lw,dec_spl,3,300,a117805ab030b194,Gleison Tibau,Rafael Dos Anjos,2011-11-19,4.0,6.0,10.0,3.0,10.0,13.0,Gleison Tibau,70.0,71.0,Southpaw,,75e5fec9f72910ef,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 132: Cruz vs Faber,0.0,lw,ko_tko,1,59,65171ae917df102f,George Sotiropoulos,Rafael Dos Anjos,2011-07-02,4.0,3.0,7.0,3.0,10.0,13.0,George Sotiropoulos,70.0,71.0,Orthodox,,896c322f56b8be5a,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 117: Silva vs Sonnen,1.0,lw,sub,3,111,3559cab3329e5431,Clay Guida,Rafael Dos Anjos,2010-08-07,9.0,10.0,19.0,3.0,10.0,13.0,Clay Guida,67.0,70.0,Orthodox,,c47df9303d318c67,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC 112: Invincible,0.0,lw,sub,2,270,38ea5a7a5b4932cb,Terry Etim,Rafael Dos Anjos,2010-04-10,2.0,1.0,3.0,3.0,10.0,13.0,Terry Etim,73.0,73.0,Orthodox,,33011768c3c4dc9a,Rafael Dos Anjos,68.0,70.0,Southpaw,,6a2f7c151031653d
UFC Fight Night: Luque vs. Dos Anjos,1.0,ftw,dec_una,3,300,1b1fd32485861655,Cub Swanson,Hakeem Dawodu,2023-08-12,6.0,13.0,19.0,3.0,1.0,4.0,Cub Swanson,68.0,70.0,Orthodox,,d247691a6c0e9034,Hakeem Dawodu,68.0,73.0,Orthodox,,2c9d00968f818270
UFC 263: Adesanya vs. Vettori 2,1.0,ftw,dec_una,3,300,d66164d2c770da68,Movsar Evloev,Hakeem Dawodu,2021-06-12,0.0,4.0,4.0,3.0,1.0,4.0,Movsar Evloev,67.0,72.0,Orthodox,,76e2870ffafbe38f,Hakeem Dawodu,68.0,73.0,Orthodox,,2c9d00968f818270
